student_id,year,branch,gpa,study_hours,failures,hostel,sleep_hours,family_support,interest,budget_level,skill_level,stress_level,communication_level,confusion_level
2705,2,Mechanical,5.14,3,2,Day Scholar,5,Medium,CAD Design,High,Beginner,High,Average,High
2706,4,ECE,6.53,3,1,Hostel,4,High,VLSI Design,Low,Beginner,Medium,Good,Medium
2707,4,Mechanical,7.74,3,0,Day Scholar,5,Medium,Robotics,High,Beginner,Medium,Average,Low
2708,1,EEE,6.64,6,2,Day Scholar,5,Low,Electrical Design,High,Beginner,High,Poor,Medium
2709,3,CSE,7.49,3,0,Day Scholar,8,High,Data Science,Low,Beginner,Medium,Good,Medium
2710,3,ECE,8.32,5,0,Hostel,7,High,Signal Processing,High,Intermediate,Low,Good,Low
2711,4,IT,6.01,3,1,Day Scholar,6,Medium,Competitive Coding,Low,Beginner,High,Average,High
2712,2,ECE,7.26,6,2,Hostel,5,High,IoT,Medium,Beginner,Medium,Good,Medium
2713,4,ECE,6.66,2,0,Hostel,7,Medium,VLSI Design,Low,Beginner,Medium,Average,High
2714,3,IT,8.86,5,2,Day Scholar,8,Medium,Communication Skills,High,Intermediate,Medium,Average,Low
2715,3,EEE,5.49,1,0,Day Scholar,5,High,Smart Grid Systems,Medium,Beginner,High,Good,High
2716,4,Mechanical,6.97,3,1,Day Scholar,7,High,Thermal Engineering,High,Beginner,Medium,Good,Medium
2717,3,CSE,7.87,1,2,Day Scholar,6,High,Data Science,Medium,Beginner,High,Good,High
2718,4,ECE,6.55,3,1,Day Scholar,7,Low,Communication Systems,High,Beginner,High,Poor,Medium
2719,3,CSE,9.02,2,0,Day Scholar,6,Low,Cybersecurity,High,Beginner,High,Poor,High
2720,2,EEE,5.09,2,2,Hostel,7,High,Power Systems,Medium,Beginner,High,Good,High
2721,1,CSE,7.95,4,0,Day Scholar,7,Low,AI/ML,High,Intermediate,High,Poor,Low
2722,1,EEE,8.26,2,2,Hostel,6,Medium,Electrical Design,Low,Beginner,Medium,Average,High
2723,2,IT,5.15,3,0,Hostel,5,High,AI/ML,Low,Beginner,High,Good,High
2724,2,Mechanical,5.84,4,2,Day Scholar,5,Medium,CAD Design,Low,Beginner,High,Average,High
2725,4,IT,7.2,2,0,Hostel,4,Medium,Web Development,Medium,Beginner,Medium,Average,High
2726,2,IT,9.46,5,2,Day Scholar,5,Medium,Communication Skills,Low,Intermediate,Medium,Average,Low
2727,4,ECE,5.49,1,2,Day Scholar,6,Low,VLSI Design,High,Beginner,High,Poor,High
2728,3,ECE,6.16,3,1,Day Scholar,7,Low,IoT,Medium,Beginner,High,Poor,High
2729,1,IT,8.0,6,2,Hostel,4,Low,AI/ML,High,Intermediate,High,Poor,Low
2730,4,Mechanical,7.96,5,2,Hostel,5,High,Thermal Engineering,Medium,Intermediate,Medium,Good,Low
2731,2,EEE,5.61,1,0,Day Scholar,6,Medium,Electrical Design,High,Beginner,High,Average,High
2732,1,Mechanical,5.36,2,1,Hostel,4,Low,Manufacturing,Medium,Beginner,High,Poor,High
2733,4,EEE,7.88,3,0,Day Scholar,6,High,Power Systems,Low,Beginner,Medium,Good,Low
2734,4,Mechanical,8.81,2,0,Hostel,6,Low,Robotics,High,Beginner,High,Poor,High
2735,1,IT,7.2,3,2,Day Scholar,6,High,Competitive Coding,High,Beginner,Medium,Good,Medium
2736,2,IT,7.33,5,0,Day Scholar,5,Medium,AI/ML,Medium,Beginner,Medium,Average,Medium
2737,2,EEE,7.36,2,1,Hostel,4,Medium,Power Systems,High,Beginner,Medium,Average,High
2738,1,CSE,6.5,6,0,Hostel,5,High,Data Science,High,Beginner,Medium,Good,Medium
2739,2,ECE,7.31,2,0,Hostel,7,High,Communication Systems,Medium,Beginner,Medium,Good,High
2740,3,CSE,5.69,6,0,Hostel,5,Medium,Cybersecurity,Medium,Beginner,High,Average,High
2741,3,IT,5.48,6,2,Hostel,4,High,Competitive Coding,Low,Beginner,High,Good,High
2742,1,IT,6.94,5,2,Hostel,5,Low,Communication Skills,High,Beginner,High,Poor,Medium
2743,1,ECE,8.56,3,0,Hostel,8,Medium,VLSI Design,Medium,Beginner,Medium,Average,Low
2744,2,EEE,5.52,3,2,Day Scholar,6,Medium,Smart Grid Systems,Low,Beginner,High,Average,High
2745,3,IT,9.37,5,0,Day Scholar,4,High,Data Analysis,High,Intermediate,Low,Good,Low
2746,3,Mechanical,8.71,5,2,Hostel,4,High,Automobile Engineering,High,Intermediate,Low,Good,Low
2747,3,Mechanical,8.37,3,0,Day Scholar,6,High,Thermal Engineering,High,Beginner,Medium,Good,Low
2748,4,IT,6.7,5,0,Hostel,6,Low,Communication Skills,High,Beginner,High,Poor,Medium
2749,2,ECE,9.4,4,0,Day Scholar,7,High,IoT,High,Intermediate,Low,Good,Low
2750,3,IT,8.12,5,0,Hostel,8,Low,Communication Skills,Low,Intermediate,High,Poor,Low
2751,2,ECE,8.29,5,2,Day Scholar,4,Low,Embedded Systems,Medium,Intermediate,High,Poor,Low
2752,4,EEE,5.79,6,0,Day Scholar,4,Low,Smart Grid Systems,Low,Beginner,High,Poor,High
2753,2,EEE,6.09,1,2,Day Scholar,7,Medium,Electrical Design,High,Beginner,High,Average,High
2754,4,IT,5.49,5,0,Day Scholar,7,Low,Data Analysis,Low,Beginner,High,Poor,High
2755,3,IT,5.67,4,0,Day Scholar,6,Medium,AI/ML,High,Beginner,High,Average,High
2756,2,Mechanical,6.78,1,2,Hostel,4,Low,Automobile Engineering,High,Beginner,High,Poor,High
2757,3,IT,7.96,5,1,Day Scholar,8,Medium,AI/ML,Low,Intermediate,Medium,Average,Low
2758,1,IT,5.21,1,0,Hostel,8,Low,Communication Skills,High,Beginner,High,Poor,High
2759,1,ECE,9.13,5,2,Hostel,5,High,IoT,High,Intermediate,Low,Good,Low
2760,1,CSE,8.83,2,0,Hostel,6,Low,Web Development,Low,Beginner,High,Poor,High
2761,2,CSE,7.69,5,0,Day Scholar,4,High,App Development,Medium,Intermediate,Medium,Good,Low
2762,4,IT,7.7,1,2,Hostel,5,Medium,Web Development,Low,Beginner,High,Average,High
2763,4,CSE,6.66,5,1,Hostel,8,Low,Data Science,Medium,Beginner,High,Poor,Medium
2764,4,EEE,8.96,4,1,Hostel,5,High,Industrial Automation,Medium,Intermediate,Low,Good,Low
2765,3,ECE,8.5,5,2,Day Scholar,6,High,Signal Processing,Low,Intermediate,Low,Good,Low
2766,4,Mechanical,8.73,2,0,Hostel,4,Medium,Manufacturing,Medium,Beginner,Medium,Average,High
2767,2,EEE,6.06,3,0,Hostel,8,Low,Power Systems,Medium,Beginner,High,Poor,High
2768,2,CSE,6.77,6,0,Day Scholar,4,Low,Cybersecurity,Low,Beginner,High,Poor,Medium
2769,1,EEE,6.32,2,2,Hostel,5,High,Industrial Automation,Medium,Beginner,High,Good,High
2770,2,IT,6.33,3,2,Hostel,8,Medium,Communication Skills,Medium,Beginner,High,Average,High
2771,1,ECE,5.69,6,0,Hostel,4,High,IoT,High,Beginner,High,Good,High
2772,2,IT,7.83,5,2,Hostel,8,Medium,Communication Skills,High,Intermediate,Medium,Average,Low
2773,4,Mechanical,7.95,1,0,Hostel,6,High,Automobile Engineering,High,Beginner,High,Good,High
2774,4,EEE,8.47,3,0,Hostel,8,Low,Industrial Automation,Low,Beginner,High,Poor,Low
2775,4,CSE,7.91,1,0,Day Scholar,7,Low,App Development,High,Beginner,High,Poor,High
2776,1,IT,8.09,3,2,Hostel,4,Low,AI/ML,Low,Beginner,High,Poor,Low
2777,3,Mechanical,7.2,5,2,Day Scholar,4,Medium,Automobile Engineering,Medium,Beginner,Medium,Average,Medium
2778,3,IT,6.19,1,1,Hostel,4,High,Web Development,Low,Beginner,High,Good,High
2779,1,Mechanical,8.02,3,0,Hostel,5,Medium,Manufacturing,Low,Beginner,Medium,Average,Low
2780,4,Mechanical,8.15,4,0,Hostel,5,Medium,Robotics,High,Intermediate,Medium,Average,Low
2781,2,IT,5.81,2,0,Day Scholar,5,Medium,Communication Skills,Medium,Beginner,High,Average,High
2782,2,Mechanical,5.64,5,0,Hostel,8,High,Manufacturing,Low,Beginner,High,Good,High
2783,4,EEE,6.11,6,0,Hostel,8,Medium,Industrial Automation,Low,Beginner,High,Average,High
2784,1,EEE,8.68,5,0,Hostel,4,Medium,Power Systems,High,Intermediate,Medium,Average,Low
2785,4,ECE,7.86,6,0,Day Scholar,5,Medium,IoT,Medium,Intermediate,Medium,Average,Low
2786,4,IT,5.13,1,0,Hostel,6,Low,Competitive Coding,Low,Beginner,High,Poor,High
2787,1,Mechanical,8.22,1,0,Day Scholar,8,Low,CAD Design,High,Beginner,High,Poor,High
2788,2,EEE,8.41,6,0,Day Scholar,5,Medium,Smart Grid Systems,High,Intermediate,Medium,Average,Low
2789,3,ECE,8.93,1,0,Hostel,5,Medium,Communication Systems,High,Beginner,High,Average,High
2790,3,ECE,6.18,1,0,Hostel,4,Low,Signal Processing,Medium,Beginner,High,Poor,High
2791,4,IT,8.77,2,0,Day Scholar,5,High,Data Analysis,Low,Beginner,Medium,Good,High
2792,3,EEE,8.0,6,0,Day Scholar,5,High,Industrial Automation,Medium,Intermediate,Medium,Good,Low
2793,3,Mechanical,9.08,6,2,Day Scholar,5,Low,Manufacturing,Low,Intermediate,High,Poor,Low
2794,2,EEE,5.25,1,0,Hostel,4,Medium,Electrical Design,Low,Beginner,High,Average,High
2795,1,EEE,9.5,3,0,Hostel,5,Low,Renewable Energy,Medium,Beginner,High,Poor,Low
2796,4,Mechanical,8.7,6,1,Hostel,7,Medium,Robotics,Medium,Intermediate,Medium,Average,Low
2797,4,CSE,8.83,4,2,Day Scholar,6,Medium,Data Science,High,Intermediate,Medium,Average,Low
2798,4,EEE,6.22,5,0,Hostel,5,Low,Smart Grid Systems,Medium,Beginner,High,Poor,High
2799,3,Mechanical,5.17,5,2,Day Scholar,4,Low,Automobile Engineering,Medium,Beginner,High,Poor,High
2800,4,Mechanical,8.7,5,2,Day Scholar,7,Low,Robotics,Low,Intermediate,High,Poor,Low
2801,1,Mechanical,6.68,5,1,Day Scholar,4,High,Thermal Engineering,Low,Beginner,Medium,Good,Medium
2802,3,IT,6.02,1,0,Hostel,6,Medium,Data Analysis,Medium,Beginner,High,Average,High
2803,2,ECE,6.57,6,1,Hostel,7,Medium,IoT,Low,Beginner,Medium,Average,Medium
2804,4,EEE,7.32,2,0,Day Scholar,4,Low,Power Systems,High,Beginner,High,Poor,High
2805,4,IT,7.3,5,0,Day Scholar,6,High,Web Development,High,Beginner,Medium,Good,Medium
2806,3,EEE,9.33,3,2,Day Scholar,7,Medium,Electrical Design,Medium,Beginner,Medium,Average,Low
2807,3,ECE,5.18,4,2,Hostel,7,High,Communication Systems,High,Beginner,High,Good,High
2808,4,EEE,9.49,1,0,Hostel,7,High,Renewable Energy,High,Beginner,High,Good,High
2809,1,ECE,6.95,1,2,Hostel,6,High,Communication Systems,High,Beginner,High,Good,High
2810,4,ECE,6.26,6,2,Hostel,6,High,Signal Processing,Medium,Beginner,High,Good,High
2811,4,IT,7.26,2,2,Day Scholar,7,Medium,AI/ML,Low,Beginner,Medium,Average,High
2812,2,EEE,6.42,1,0,Day Scholar,5,High,Smart Grid Systems,Low,Beginner,High,Good,High
2813,2,CSE,5.46,5,0,Day Scholar,5,Medium,AI/ML,Medium,Beginner,High,Average,High
2814,3,EEE,5.75,3,0,Hostel,6,Low,Smart Grid Systems,Medium,Beginner,High,Poor,High
2815,1,Mechanical,9.3,6,0,Hostel,5,Low,Manufacturing,Medium,Intermediate,High,Poor,Low
2816,4,IT,8.38,6,2,Day Scholar,5,Low,AI/ML,High,Intermediate,High,Poor,Low
2817,2,EEE,5.54,5,2,Day Scholar,7,Low,Smart Grid Systems,Low,Beginner,High,Poor,High
2818,2,EEE,9.19,4,1,Day Scholar,5,High,Industrial Automation,Medium,Intermediate,Low,Good,Low
2819,3,Mechanical,9.0,3,1,Hostel,5,Medium,CAD Design,High,Beginner,Medium,Average,Low
2820,2,IT,6.73,4,0,Hostel,5,Medium,Data Analysis,Medium,Beginner,Medium,Average,Medium
2821,4,ECE,6.59,3,0,Hostel,4,Low,VLSI Design,Low,Beginner,High,Poor,Medium
2822,2,IT,7.16,5,1,Hostel,4,High,Data Analysis,Low,Beginner,Medium,Good,Medium
2823,4,Mechanical,7.19,4,0,Day Scholar,5,High,Thermal Engineering,High,Beginner,Medium,Good,Medium
2824,2,IT,6.21,6,1,Day Scholar,8,Medium,Data Analysis,High,Beginner,High,Average,High
2825,2,CSE,5.3,4,2,Hostel,8,Low,Data Science,High,Beginner,High,Poor,High
2826,4,IT,5.82,6,2,Day Scholar,4,High,Competitive Coding,High,Beginner,High,Good,High
2827,4,ECE,7.42,4,0,Hostel,8,High,Embedded Systems,Medium,Beginner,Medium,Good,Medium
2828,2,EEE,9.35,2,0,Day Scholar,4,High,Industrial Automation,Low,Beginner,Medium,Good,High
2829,3,EEE,7.44,5,0,Day Scholar,4,High,Renewable Energy,High,Beginner,Medium,Good,Medium
2830,1,Mechanical,8.1,3,0,Day Scholar,8,High,Robotics,Low,Beginner,Medium,Good,Low
2831,2,CSE,5.43,1,0,Hostel,6,Low,Cybersecurity,High,Beginner,High,Poor,High
2832,1,CSE,8.62,5,0,Hostel,7,Low,Data Science,High,Intermediate,High,Poor,Low
2833,1,Mechanical,8.02,1,0,Hostel,5,Low,Robotics,High,Beginner,High,Poor,High
2834,1,Mechanical,6.51,5,0,Hostel,5,Low,Manufacturing,High,Beginner,High,Poor,Medium
2835,3,Mechanical,6.1,4,0,Hostel,7,Medium,Automobile Engineering,Medium,Beginner,High,Average,High
2836,2,IT,8.03,3,1,Day Scholar,6,Medium,Data Analysis,Medium,Beginner,Medium,Average,Low
2837,2,IT,8.74,4,0,Hostel,8,High,Competitive Coding,High,Intermediate,Low,Good,Low
2838,1,ECE,5.42,2,0,Day Scholar,8,Medium,IoT,Low,Beginner,High,Average,High
2839,4,ECE,6.72,1,2,Hostel,8,Low,Signal Processing,High,Beginner,High,Poor,High
2840,1,EEE,9.15,4,2,Hostel,7,Low,Electrical Design,High,Intermediate,High,Poor,Low
2841,3,IT,7.36,4,0,Day Scholar,8,Medium,Communication Skills,Medium,Beginner,Medium,Average,Medium
2842,3,Mechanical,6.16,6,1,Day Scholar,4,Medium,Automobile Engineering,High,Beginner,High,Average,High
2843,3,EEE,7.48,5,0,Day Scholar,7,High,Smart Grid Systems,Medium,Beginner,Medium,Good,Medium
2844,1,EEE,6.4,3,0,Day Scholar,5,High,Power Systems,Medium,Beginner,High,Good,High
2845,2,IT,5.44,3,1,Hostel,5,High,Web Development,High,Beginner,High,Good,High
2846,1,EEE,6.71,1,0,Hostel,5,High,Smart Grid Systems,Low,Beginner,High,Good,High
2847,3,EEE,8.43,5,0,Hostel,8,High,Renewable Energy,Low,Intermediate,Low,Good,Low
2848,1,ECE,7.55,4,0,Day Scholar,7,Medium,IoT,Medium,Intermediate,Medium,Average,Low
2849,2,IT,5.25,2,0,Hostel,6,High,AI/ML,Low,Beginner,High,Good,High
2850,2,Mechanical,7.71,2,0,Day Scholar,5,Low,Robotics,Medium,Beginner,High,Poor,High
2851,2,EEE,9.13,3,0,Day Scholar,6,High,Smart Grid Systems,Low,Beginner,Medium,Good,Low
2852,2,ECE,6.97,3,0,Hostel,6,High,Communication Systems,Medium,Beginner,Medium,Good,Medium
2853,2,CSE,6.28,6,0,Hostel,7,Medium,Data Science,Medium,Beginner,High,Average,High
2854,1,CSE,7.34,6,0,Hostel,8,High,AI/ML,Low,Beginner,Medium,Good,Medium
2855,2,Mechanical,9.13,3,0,Day Scholar,4,Medium,CAD Design,Low,Beginner,Medium,Average,Low
2856,3,ECE,6.24,1,0,Hostel,5,High,Embedded Systems,Medium,Beginner,High,Good,High
2857,1,EEE,5.6,1,0,Day Scholar,7,Medium,Power Systems,Low,Beginner,High,Average,High
2858,2,EEE,5.38,4,0,Hostel,4,Low,Electrical Design,Medium,Beginner,High,Poor,High
2859,2,ECE,6.9,4,0,Day Scholar,7,Low,Communication Systems,High,Beginner,High,Poor,Medium
2860,4,IT,5.48,2,2,Day Scholar,7,Low,Competitive Coding,Medium,Beginner,High,Poor,High
2861,2,Mechanical,5.77,2,0,Hostel,7,High,CAD Design,Low,Beginner,High,Good,High
2862,4,ECE,5.56,2,2,Day Scholar,6,Medium,IoT,Low,Beginner,High,Average,High
2863,2,CSE,9.04,4,1,Day Scholar,4,Medium,App Development,High,Intermediate,Medium,Average,Low
2864,1,Mechanical,7.02,3,0,Hostel,5,Medium,Robotics,High,Beginner,Medium,Average,Medium
2865,3,Mechanical,7.65,5,0,Hostel,7,High,CAD Design,High,Intermediate,Medium,Good,Low
2866,3,IT,8.56,3,0,Day Scholar,5,High,Web Development,Low,Beginner,Medium,Good,Low
2867,4,CSE,6.69,2,0,Hostel,7,High,Web Development,High,Beginner,Medium,Good,High
2868,4,CSE,7.3,4,0,Day Scholar,7,High,Web Development,High,Beginner,Medium,Good,Medium
2869,1,Mechanical,7.93,4,1,Day Scholar,4,High,Manufacturing,Low,Intermediate,Medium,Good,Low
2870,4,ECE,7.44,4,1,Day Scholar,8,Medium,Embedded Systems,Medium,Beginner,Medium,Average,Medium
2871,4,CSE,8.47,5,2,Day Scholar,4,High,Data Science,Low,Intermediate,Low,Good,Low
2872,1,EEE,5.61,6,0,Day Scholar,6,Medium,Industrial Automation,Medium,Beginner,High,Average,High
2873,3,EEE,9.21,5,0,Day Scholar,4,Low,Renewable Energy,High,Intermediate,High,Poor,Low
2874,1,EEE,6.4,4,2,Day Scholar,7,High,Smart Grid Systems,High,Beginner,High,Good,High
2875,4,EEE,5.73,1,0,Day Scholar,6,Low,Smart Grid Systems,High,Beginner,High,Poor,High
2876,3,ECE,6.37,6,0,Day Scholar,5,Medium,Signal Processing,Low,Beginner,High,Average,High
2877,2,CSE,7.13,1,0,Day Scholar,7,Low,Cybersecurity,Medium,Beginner,High,Poor,High
2878,4,ECE,8.92,1,1,Day Scholar,7,Low,VLSI Design,Low,Beginner,High,Poor,High
2879,3,CSE,6.91,2,0,Day Scholar,5,Medium,Cybersecurity,Medium,Beginner,Medium,Average,High
2880,3,IT,9.11,4,0,Hostel,4,Low,Data Analysis,Low,Intermediate,High,Poor,Low
2881,3,IT,7.1,2,1,Day Scholar,4,Low,Communication Skills,Low,Beginner,High,Poor,High
2882,4,EEE,7.82,1,1,Day Scholar,5,Medium,Electrical Design,Medium,Beginner,High,Average,High
2883,2,ECE,9.07,3,1,Hostel,6,Low,IoT,High,Beginner,High,Poor,Low
2884,1,IT,5.1,3,2,Hostel,5,Low,AI/ML,Medium,Beginner,High,Poor,High
2885,4,EEE,6.6,5,1,Day Scholar,6,High,Renewable Energy,Medium,Beginner,Medium,Good,Medium
2886,4,IT,5.87,5,1,Day Scholar,6,Medium,Competitive Coding,Medium,Beginner,High,Average,High
2887,1,CSE,5.38,2,1,Day Scholar,7,Low,App Development,Low,Beginner,High,Poor,High
2888,1,CSE,5.33,6,2,Day Scholar,8,High,AI/ML,Medium,Beginner,High,Good,High
2889,3,ECE,7.08,6,0,Day Scholar,8,High,Communication Systems,High,Beginner,Medium,Good,Medium
2890,4,Mechanical,5.8,3,0,Hostel,8,Low,Thermal Engineering,Medium,Beginner,High,Poor,High
2891,4,ECE,7.64,2,2,Hostel,5,Low,Signal Processing,Medium,Beginner,High,Poor,High
2892,2,ECE,7.17,1,0,Day Scholar,7,High,Embedded Systems,Low,Beginner,High,Good,High
2893,4,Mechanical,9.31,3,0,Hostel,7,High,Thermal Engineering,Low,Beginner,Medium,Good,Low
2894,1,Mechanical,5.99,4,0,Day Scholar,5,Medium,Thermal Engineering,Medium,Beginner,High,Average,High
2895,4,ECE,8.58,2,0,Hostel,8,Low,VLSI Design,Low,Beginner,High,Poor,High
2896,1,EEE,9.34,5,0,Day Scholar,7,Low,Industrial Automation,Low,Intermediate,High,Poor,Low
2897,1,CSE,8.52,3,1,Day Scholar,5,Low,App Development,High,Beginner,High,Poor,Low
2898,4,CSE,7.66,2,1,Hostel,5,High,Cybersecurity,High,Beginner,Medium,Good,High
2899,4,Mechanical,6.08,6,0,Day Scholar,4,Medium,Manufacturing,Medium,Beginner,High,Average,High
2900,4,IT,9.01,2,2,Day Scholar,7,Low,Web Development,High,Beginner,High,Poor,High
2901,4,CSE,8.96,1,0,Hostel,7,Low,AI/ML,High,Beginner,High,Poor,High
2902,4,ECE,6.06,6,1,Hostel,8,Medium,IoT,Low,Beginner,High,Average,High
2903,1,CSE,6.5,1,0,Hostel,6,Low,Data Science,Medium,Beginner,High,Poor,High
2904,1,Mechanical,8.91,5,0,Day Scholar,6,Low,Manufacturing,Low,Intermediate,High,Poor,Low
2905,4,Mechanical,8.33,2,0,Hostel,5,Medium,Manufacturing,Medium,Beginner,Medium,Average,High
2906,2,CSE,9.25,4,0,Hostel,7,Medium,Data Science,Low,Intermediate,Medium,Average,Low
2907,1,ECE,6.89,1,2,Day Scholar,7,High,VLSI Design,Medium,Beginner,High,Good,High
2908,1,CSE,5.68,5,0,Day Scholar,6,Low,AI/ML,Medium,Beginner,High,Poor,High
2909,1,IT,5.86,2,0,Hostel,5,High,Competitive Coding,Medium,Beginner,High,Good,High
2910,3,CSE,8.89,3,1,Hostel,8,Low,Web Development,High,Beginner,High,Poor,Low
2911,1,EEE,7.92,3,0,Hostel,6,Medium,Electrical Design,Medium,Beginner,Medium,Average,Low
2912,3,CSE,6.37,2,0,Hostel,7,Medium,AI/ML,High,Beginner,High,Average,High
2913,1,ECE,8.3,4,0,Day Scholar,8,Medium,Signal Processing,Medium,Intermediate,Medium,Average,Low
2914,3,Mechanical,6.74,6,0,Hostel,5,Medium,Thermal Engineering,Low,Beginner,Medium,Average,Medium
2915,1,ECE,7.3,4,0,Hostel,4,High,Signal Processing,Medium,Beginner,Medium,Good,Medium
2916,2,ECE,8.99,4,0,Day Scholar,4,High,Signal Processing,Low,Intermediate,Low,Good,Low
2917,4,IT,5.44,1,2,Day Scholar,6,Medium,AI/ML,Medium,Beginner,High,Average,High
2918,3,CSE,5.5,3,2,Hostel,5,Medium,App Development,Medium,Beginner,High,Average,High
2919,2,CSE,7.75,3,0,Day Scholar,7,High,Data Science,High,Beginner,Medium,Good,Low
2920,4,CSE,5.92,1,2,Day Scholar,6,Low,Cybersecurity,Medium,Beginner,High,Poor,High
2921,2,EEE,6.52,6,1,Hostel,7,High,Renewable Energy,Low,Beginner,Medium,Good,Medium
2922,3,IT,8.61,6,0,Hostel,8,Low,AI/ML,High,Intermediate,High,Poor,Low
2923,2,Mechanical,8.3,1,2,Hostel,6,Medium,Automobile Engineering,High,Beginner,High,Average,High
2924,2,IT,7.47,5,0,Hostel,4,Low,AI/ML,Low,Beginner,High,Poor,Medium
2925,2,EEE,8.92,1,0,Day Scholar,8,High,Power Systems,Low,Beginner,High,Good,High
2926,4,EEE,7.42,6,1,Hostel,4,Low,Smart Grid Systems,Medium,Beginner,High,Poor,Medium
2927,2,EEE,5.96,3,0,Day Scholar,5,Medium,Smart Grid Systems,High,Beginner,High,Average,High
2928,2,EEE,8.03,2,0,Hostel,7,Low,Industrial Automation,Low,Beginner,High,Poor,High
2929,4,Mechanical,8.96,2,0,Hostel,4,High,CAD Design,Medium,Beginner,Medium,Good,High
2930,2,EEE,6.38,2,1,Day Scholar,5,High,Power Systems,Low,Beginner,High,Good,High
2931,2,CSE,6.15,3,0,Hostel,5,High,Data Science,Low,Beginner,High,Good,High
2932,1,ECE,6.61,6,1,Day Scholar,4,Low,Communication Systems,Medium,Beginner,High,Poor,Medium
2933,3,IT,8.4,5,0,Hostel,5,Medium,Communication Skills,Medium,Intermediate,Medium,Average,Low
2934,4,IT,5.17,4,2,Day Scholar,7,High,Web Development,High,Beginner,High,Good,High
2935,4,CSE,6.98,5,0,Hostel,5,Low,Web Development,Low,Beginner,High,Poor,Medium
2936,3,CSE,7.67,6,0,Hostel,8,Medium,Data Science,Medium,Intermediate,Medium,Average,Low
2937,4,CSE,6.66,2,1,Hostel,5,Low,Cybersecurity,Low,Beginner,High,Poor,High
2938,2,CSE,5.71,6,2,Hostel,7,High,Cybersecurity,Low,Beginner,High,Good,High
2939,3,ECE,9.44,3,0,Day Scholar,6,High,Communication Systems,Low,Beginner,Medium,Good,Low
2940,1,Mechanical,5.28,4,0,Day Scholar,8,Low,Automobile Engineering,High,Beginner,High,Poor,High
2941,1,ECE,6.77,1,2,Hostel,8,Medium,Signal Processing,High,Beginner,High,Average,High
2942,2,IT,6.36,5,0,Hostel,7,Medium,Communication Skills,High,Beginner,High,Average,High
2943,1,ECE,5.03,6,1,Hostel,6,High,Embedded Systems,Medium,Beginner,High,Good,High
2944,2,EEE,8.77,2,1,Day Scholar,7,High,Electrical Design,Medium,Beginner,Medium,Good,High
2945,1,IT,9.32,5,1,Hostel,8,High,Communication Skills,Medium,Intermediate,Low,Good,Low
2946,1,IT,8.06,2,2,Hostel,7,Low,Communication Skills,High,Beginner,High,Poor,High
2947,1,IT,9.43,3,0,Hostel,6,High,Competitive Coding,Medium,Beginner,Medium,Good,Low
2948,4,IT,7.29,2,2,Hostel,6,Medium,Communication Skills,Medium,Beginner,Medium,Average,High
2949,3,CSE,6.19,3,0,Day Scholar,7,Medium,Data Science,Medium,Beginner,High,Average,High
2950,1,ECE,7.88,1,0,Hostel,8,Low,Embedded Systems,Medium,Beginner,High,Poor,High
2951,3,IT,5.96,1,0,Hostel,5,Low,Data Analysis,High,Beginner,High,Poor,High
2952,3,CSE,8.4,6,0,Day Scholar,8,High,AI/ML,Low,Intermediate,Low,Good,Low
2953,3,CSE,7.13,1,2,Hostel,4,High,Web Development,Medium,Beginner,High,Good,High
2954,1,ECE,9.35,5,1,Hostel,6,High,VLSI Design,Medium,Intermediate,Low,Good,Low
2955,4,Mechanical,6.02,4,0,Day Scholar,5,High,Manufacturing,High,Beginner,High,Good,High
2956,2,CSE,6.0,6,1,Hostel,8,High,Data Science,High,Beginner,High,Good,High
2957,2,EEE,7.2,2,0,Hostel,8,Low,Electrical Design,Low,Beginner,High,Poor,High
2958,4,ECE,8.95,1,2,Hostel,6,Low,VLSI Design,High,Beginner,High,Poor,High
2959,4,ECE,7.87,1,0,Day Scholar,4,Medium,Signal Processing,Medium,Beginner,High,Average,High
2960,4,Mechanical,5.34,6,0,Hostel,4,Medium,CAD Design,Medium,Beginner,High,Average,High
2961,3,IT,5.49,6,1,Day Scholar,6,Low,AI/ML,High,Beginner,High,Poor,High
2962,3,EEE,5.43,5,0,Day Scholar,6,Low,Renewable Energy,High,Beginner,High,Poor,High
2963,4,EEE,9.28,4,0,Hostel,4,High,Electrical Design,Low,Intermediate,Low,Good,Low
2964,2,IT,8.69,2,1,Hostel,7,Medium,Communication Skills,High,Beginner,Medium,Average,High
2965,1,IT,7.14,6,0,Hostel,5,Low,Data Analysis,Low,Beginner,High,Poor,Medium
2966,2,EEE,5.32,2,2,Hostel,4,Low,Smart Grid Systems,Low,Beginner,High,Poor,High
2967,1,ECE,8.48,5,2,Day Scholar,4,Low,Communication Systems,High,Intermediate,High,Poor,Low
2968,2,Mechanical,9.31,6,1,Hostel,4,High,CAD Design,Low,Intermediate,Low,Good,Low
2969,3,EEE,9.24,3,2,Day Scholar,8,Low,Smart Grid Systems,Low,Beginner,High,Poor,Low
2970,2,IT,8.89,4,2,Hostel,8,Medium,Data Analysis,High,Intermediate,Medium,Average,Low
2971,1,CSE,8.18,3,2,Day Scholar,7,Low,Data Science,High,Beginner,High,Poor,Low
2972,4,CSE,7.3,6,0,Day Scholar,8,High,Cybersecurity,Low,Beginner,Medium,Good,Medium
2973,2,CSE,8.79,4,1,Day Scholar,4,Medium,Cybersecurity,High,Intermediate,Medium,Average,Low
